
Totals:
	count	size	type
	15222	87017182	Gene
	62618	29426676	Exon
	50998	101996	SpliceSiteDonor
	12914	61982156	Transcript
	48988	97976	SpliceSiteAcceptor
	15	168736537	Chromosome
	11650	56792611	Intergenic
	44888	48139325	Intron
	19709	3403061	Utr5prime
	57126	22557669	Cds
	3	9	RareAminoAcid
	7691	38433567	Upstream
	13239	4531603	Utr3prime
	7327	36617812	Downstream
Iteration	Cds	Chromosome	Downstream	Exon	Gene	Intergenic	Intron	RareAminoAcid	SpliceSiteAcceptor	SpliceSiteDonor	Transcript	Upstream	Utr3prime	Utr5prime
315	0	1000	793	400	524	340	890	0	52	36	1204	804	88	67
316	0	1000	820	468	518	366	1137	0	130	78	1398	754	75	54
317	0	1000	856	472	519	362	993	0	64	50	1351	657	104	46
318	0	1000	802	449	496	358	1081	0	59	58	1413	799	78	34
319	0	1000	766	471	528	335	1045	0	53	59	1405	772	73	99
320	0	1000	733	406	524	326	1165	0	67	81	1425	783	64	54
321	0	1000	800	418	503	342	1114	0	34	63	1436	817	69	34
322	0	1000	839	518	528	331	1006	0	70	79	1376	893	107	92
323	0	1000	804	450	558	332	962	0	68	55	1290	834	79	51
324	0	1000	773	473	515	350	1079	0	75	52	1426	780	85	62
325	0	1000	781	420	494	349	917	0	64	62	1211	720	58	19
326	0	1000	878	542	556	315	1136	0	67	71	1543	808	156	57
327	0	1000	750	557	526	361	999	0	85	82	1389	830	129	80
328	0	1000	717	417	514	330	1026	0	57	78	1310	643	45	42
329	0	1000	871	450	494	380	977	0	38	41	1348	816	95	66
330	0	1000	790	445	536	344	1024	0	61	86	1323	768	76	77
331	0	1000	784	442	525	333	1059	0	79	54	1377	794	123	61
332	0	1000	729	497	514	360	919	0	55	65	1298	823	128	69
333	0	1000	779	477	508	343	994	0	84	71	1316	759	55	66
334	0	1000	734	493	543	313	1226	0	77	64	1582	736	84	46
335	0	1000	728	508	518	340	1161	0	60	129	1480	742	86	133
336	0	1000	730	461	528	338	950	0	41	62	1308	764	59	78
337	0	1000	791	464	521	342	1180	0	71	121	1476	796	50	68
338	0	1000	831	474	557	332	1167	0	80	76	1485	715	79	42
339	0	1000	802	392	530	366	1008	0	53	50	1302	841	65	59
340	0	1000	809	453	529	354	1026	0	78	52	1352	767	60	62
341	0	1000	753	470	537	333	1035	0	56	77	1372	812	87	49
342	0	1000	807	553	555	311	1316	0	104	74	1697	785	116	56
343	0	1000	757	484	503	359	1124	0	42	67	1500	759	89	44
344	0	1000	724	421	528	333	1165	0	41	46	1503	772	61	45
345	0	1000	820	622	554	337	1100	1	96	80	1547	836	169	49
346	0	1000	904	444	516	343	942	0	59	47	1280	776	79	44
347	0	1000	775	449	498	360	1046	0	61	146	1301	726	58	58
348	0	1000	821	429	535	336	1118	0	42	79	1426	836	54	53
349	0	1000	686	525	529	314	1055	0	88	78	1420	758	65	74
350	0	1000	803	431	533	337	1069	0	67	93	1340	740	52	36
351	0	1000	749	452	523	321	1243	0	86	69	1548	760	78	63
352	0	1000	898	364	531	341	1179	0	44	47	1452	811	83	64
353	0	1000	864	398	511	363	981	0	34	65	1283	729	55	52
354	0	1000	886	444	527	368	909	0	40	45	1273	790	97	80
355	0	1000	692	433	552	315	1216	0	67	69	1527	671	61	41
356	0	1000	779	575	523	349	837	0	68	56	1290	812	90	63
357	0	1000	761	447	510	345	967	0	55	40	1320	770	102	52
358	0	1000	748	449	541	325	1198	0	67	69	1511	794	60	58
359	0	1000	751	393	488	349	1054	0	43	85	1319	690	81	60
360	0	1000	740	485	521	348	1009	0	77	95	1327	829	83	41
361	0	1000	754	539	514	319	1016	0	102	127	1326	725	75	50
362	0	1000	736	310	505	342	1118	0	63	43	1323	698	44	41
363	0	1000	728	545	524	352	1124	0	89	87	1496	843	45	89
364	0	1000	789	503	536	345	1161	0	54	146	1470	776	65	63
365	0	1000	827	438	525	332	1091	0	64	63	1404	743	58	42
366	0	1000	679	387	533	333	989	0	73	86	1217	778	61	44
367	0	1000	719	456	513	367	1110	0	89	93	1385	775	82	32
368	0	1000	740	400	512	333	953	0	70	53	1235	774	60	45
369	0	1000	769	541	535	349	1055	0	72	80	1446	782	64	80
370	0	1000	721	469	562	330	1051	0	69	64	1387	711	59	52
